responseId,view_label,ID_enter,ID_exit,videos,video_time,datetimestamp_start,datetimestamp_end,date,signaling,congestion_enter_rating,congestion_exit_rating,time_segment_id,cycle_phase
GosHaeWjMrmfnvgPoaTSqQ0,Norman Niles #1,time_segment_10_Norman Niles #1_congestion_enter_rating,time_segment_10_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-10-45.mp4,2025-10-20 06:10:45,2025-10-20 06:10:45,2025-10-20 06:11:44,2025-10-20,none,free flowing,free flowing,10,train
SIsHaY_9GJ__698PweWaiQ4,Norman Niles #1,time_segment_11_Norman Niles #1_congestion_enter_rating,time_segment_11_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-11-45.mp4,2025-10-20 06:11:45,2025-10-20 06:11:45,2025-10-20 06:12:44,2025-10-20,none,free flowing,free flowing,11,train
_4wHacmKBLmfnvgPoaTSqQ0,Norman Niles #1,time_segment_12_Norman Niles #1_congestion_enter_rating,time_segment_12_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-12-45.mp4,2025-10-20 06:12:45,2025-10-20 06:12:44,2025-10-20 06:13:44,2025-10-20,none,free flowing,free flowing,12,train
7YoHad7XK6-vnvgPjoXZqA0,Norman Niles #1,time_segment_13_Norman Niles #1_congestion_enter_rating,time_segment_13_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-13-45.mp4,2025-10-20 06:13:45,2025-10-20 06:13:45,2025-10-20 06:14:44,2025-10-20,none,free flowing,free flowing,13,train
PYoHaaHLLOaQ2PgPqvKU8As,Norman Niles #1,time_segment_14_Norman Niles #1_congestion_enter_rating,time_segment_14_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-14-45.mp4,2025-10-20 06:14:45,2025-10-20 06:14:45,2025-10-20 06:15:44,2025-10-20,none,free flowing,free flowing,14,train
IYsHaY56oJWZ5w_-gKnhAQ,Norman Niles #1,time_segment_15_Norman Niles #1_congestion_enter_rating,time_segment_15_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-15-45.mp4,2025-10-20 06:15:45,2025-10-20 06:15:45,2025-10-20 06:16:44,2025-10-20,none,free flowing,free flowing,15,train
IosHada_OeK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_16_Norman Niles #1_congestion_enter_rating,time_segment_16_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-16-45.mp4,2025-10-20 06:16:45,2025-10-20 06:16:45,2025-10-20 06:17:44,2025-10-20,none,free flowing,free flowing,16,train
0okHacTJCq-vnvgPjoXZqA0,Norman Niles #1,time_segment_17_Norman Niles #1_congestion_enter_rating,time_segment_17_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-17-45.mp4,2025-10-20 06:17:45,2025-10-20 06:17:45,2025-10-20 06:18:44,2025-10-20,none,free flowing,free flowing,17,train
GosHaemzKNCT3NoP8rPIoA0,Norman Niles #1,time_segment_18_Norman Niles #1_congestion_enter_rating,time_segment_18_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-18-45.mp4,2025-10-20 06:18:45,2025-10-20 06:18:45,2025-10-20 06:19:45,2025-10-20,none,free flowing,free flowing,18,train
BY0HaZnFN7HZnvgPgt-ZqQs,Norman Niles #1,time_segment_19_Norman Niles #1_congestion_enter_rating,time_segment_19_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-19-45.mp4,2025-10-20 06:19:45,2025-10-20 06:19:45,2025-10-20 06:20:44,2025-10-20,none,free flowing,free flowing,19,train
DosHacmuLtCT3NoP8rPIoA0,Norman Niles #1,time_segment_20_Norman Niles #1_congestion_enter_rating,time_segment_20_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-20-45.mp4,2025-10-20 06:20:45,2025-10-20 06:20:45,2025-10-20 06:21:44,2025-10-20,none,free flowing,free flowing,20,train
aosHab_BIorQnvgPpPTHwA4,Norman Niles #1,time_segment_21_Norman Niles #1_congestion_enter_rating,time_segment_21_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-21-45.mp4,2025-10-20 06:21:45,2025-10-20 06:21:45,2025-10-20 06:22:44,2025-10-20,none,free flowing,free flowing,21,train
L4sHaYSmI7-envgP6uGTmAE,Norman Niles #1,time_segment_22_Norman Niles #1_congestion_enter_rating,time_segment_22_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-22-45.mp4,2025-10-20 06:22:45,2025-10-20 06:22:45,2025-10-20 06:23:44,2025-10-20,none,free flowing,free flowing,22,train
7IkHacW-FrzA698P_KuO8AM,Norman Niles #1,time_segment_23_Norman Niles #1_congestion_enter_rating,time_segment_23_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-23-45.mp4,2025-10-20 06:23:45,2025-10-20 06:23:45,2025-10-20 06:24:44,2025-10-20,none,free flowing,free flowing,23,train
-4wHaaq3DIrQnvgPpPTHwA4,Norman Niles #1,time_segment_24_Norman Niles #1_congestion_enter_rating,time_segment_24_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-24-45.mp4,2025-10-20 06:24:45,2025-10-20 06:24:45,2025-10-20 06:25:44,2025-10-20,none,free flowing,free flowing,24,train
3YkHad6kCOK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_25_Norman Niles #1_congestion_enter_rating,time_segment_25_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-25-45.mp4,2025-10-20 06:25:45,2025-10-20 06:25:45,2025-10-20 06:26:44,2025-10-20,none,free flowing,free flowing,25,train
iYwHabeKJLOv3NoPq7G46QE,Norman Niles #1,time_segment_26_Norman Niles #1_congestion_enter_rating,time_segment_26_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-26-45.mp4,2025-10-20 06:26:45,2025-10-20 06:26:45,2025-10-20 06:27:44,2025-10-20,none,free flowing,free flowing,26,train
7ooHaemWDKCVmecP_oCp4QE,Norman Niles #1,time_segment_27_Norman Niles #1_congestion_enter_rating,time_segment_27_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-27-45.mp4,2025-10-20 06:27:45,2025-10-20 06:27:45,2025-10-20 06:28:44,2025-10-20,none,free flowing,free flowing,27,train
H4sHafeeC-aQ2PgPqvKU8As,Norman Niles #1,time_segment_28_Norman Niles #1_congestion_enter_rating,time_segment_28_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-28-45.mp4,2025-10-20 06:28:45,2025-10-20 06:28:45,2025-10-20 06:29:45,2025-10-20,none,free flowing,free flowing,28,train
6IwHac33F7XOnvgP3YW5kQs,Norman Niles #1,time_segment_29_Norman Niles #1_congestion_enter_rating,time_segment_29_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-29-45.mp4,2025-10-20 06:29:45,2025-10-20 06:29:45,2025-10-20 06:30:44,2025-10-20,none,free flowing,free flowing,29,train
RIsHaYeZC6-vnvgPjoXZqA0,Norman Niles #1,time_segment_30_Norman Niles #1_congestion_enter_rating,time_segment_30_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-30-45.mp4,2025-10-20 06:30:45,2025-10-20 06:30:45,2025-10-20 06:31:44,2025-10-20,none,free flowing,free flowing,30,train
04kHae_iI6HXnvgP76fxyQI,Norman Niles #1,time_segment_31_Norman Niles #1_congestion_enter_rating,time_segment_31_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-31-45.mp4,2025-10-20 06:31:45,2025-10-20 06:31:45,2025-10-20 06:32:44,2025-10-20,none,free flowing,free flowing,31,train
GosHacXcIa-vnvgPjoXZqA0,Norman Niles #1,time_segment_32_Norman Niles #1_congestion_enter_rating,time_segment_32_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-32-45.mp4,2025-10-20 06:32:45,2025-10-20 06:32:45,2025-10-20 06:33:44,2025-10-20,none,free flowing,free flowing,32,train
7ooHafPwEf_rld8Pu42kgAM,Norman Niles #1,time_segment_33_Norman Niles #1_congestion_enter_rating,time_segment_33_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-33-45.mp4,2025-10-20 06:33:45,2025-10-20 06:33:45,2025-10-20 06:34:44,2025-10-20,none,free flowing,free flowing,33,train
_4wHafjnBbXOnvgP3YW5kQs,Norman Niles #1,time_segment_34_Norman Niles #1_congestion_enter_rating,time_segment_34_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-34-45.mp4,2025-10-20 06:34:45,2025-10-20 06:34:45,2025-10-20 06:35:59,2025-10-20,none,free flowing,free flowing,34,train
AooHaeiaB9m7nvgPq8e12AU,Norman Niles #1,time_segment_35_Norman Niles #1_congestion_enter_rating,time_segment_35_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-35-45.mp4,2025-10-20 06:35:45,2025-10-20 06:35:45,2025-10-20 06:36:44,2025-10-20,none,free flowing,free flowing,35,train
PIsHaf2nC7-envgP6uGTmAE,Norman Niles #1,time_segment_36_Norman Niles #1_congestion_enter_rating,time_segment_36_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-36-45.mp4,2025-10-20 06:36:45,2025-10-20 06:36:45,2025-10-20 06:37:44,2025-10-20,none,free flowing,free flowing,36,train
54kHaaK8N7mfnvgPoaTSqQ0,Norman Niles #1,time_segment_37_Norman Niles #1_congestion_enter_rating,time_segment_37_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-37-45.mp4,2025-10-20 06:37:45,2025-10-20 06:37:45,2025-10-20 06:38:59,2025-10-20,none,free flowing,free flowing,37,train
8IwHaeuqL9iD2PgPyKaayQw,Norman Niles #1,time_segment_38_Norman Niles #1_congestion_enter_rating,time_segment_38_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-38-45.mp4,2025-10-20 06:38:45,2025-10-20 06:38:45,2025-10-20 06:39:44,2025-10-20,none,free flowing,free flowing,38,train
NIsHad6iEtm7nvgPq8e12AU,Norman Niles #1,time_segment_39_Norman Niles #1_congestion_enter_rating,time_segment_39_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-39-45.mp4,2025-10-20 06:39:45,2025-10-20 06:39:45,2025-10-20 06:40:44,2025-10-20,none,free flowing,free flowing,39,train
BI0HaZ-XHrHZnvgPgt-ZqQs,Norman Niles #1,time_segment_40_Norman Niles #1_congestion_enter_rating,time_segment_40_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-40-45.mp4,2025-10-20 06:40:45,2025-10-20 06:40:45,2025-10-20 06:41:44,2025-10-20,none,free flowing,free flowing,40,train
zYkHafDlBOK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_41_Norman Niles #1_congestion_enter_rating,time_segment_41_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-41-45.mp4,2025-10-20 06:41:45,2025-10-20 06:41:45,2025-10-20 06:42:45,2025-10-20,none,free flowing,free flowing,41,train
1IkHaafuELXOnvgP3YW5kQs,Norman Niles #1,time_segment_42_Norman Niles #1_congestion_enter_rating,time_segment_42_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-42-45.mp4,2025-10-20 06:42:45,2025-10-20 06:42:45,2025-10-20 06:43:45,2025-10-20,none,free flowing,free flowing,42,train
OosHaem2HqHXnvgP76fxyQI,Norman Niles #1,time_segment_43_Norman Niles #1_congestion_enter_rating,time_segment_43_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-43-45.mp4,2025-10-20 06:43:45,2025-10-20 06:43:45,2025-10-20 06:44:45,2025-10-20,none,free flowing,free flowing,43,train
0YkHacCVMuK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_44_Norman Niles #1_congestion_enter_rating,time_segment_44_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-44-45.mp4,2025-10-20 06:44:45,2025-10-20 06:44:45,2025-10-20 06:44:59,2025-10-20,none,free flowing,free flowing,44,train
0okHac6eDdmqmecPxebXqQE,Norman Niles #1,time_segment_45_Norman Niles #1_congestion_enter_rating,time_segment_45_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-45-45.mp4,2025-10-20 06:45:45,2025-10-20 06:45:45,2025-10-20 06:46:45,2025-10-20,none,free flowing,free flowing,45,train
0YkHabDsNdiD2PgPyKaayQw,Norman Niles #1,time_segment_46_Norman Niles #1_congestion_enter_rating,time_segment_46_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-46-45.mp4,2025-10-20 06:46:45,2025-10-20 06:46:45,2025-10-20 06:47:44,2025-10-20,none,free flowing,free flowing,46,train
v4wHac__K9iD2PgPyKaayQw,Norman Niles #1,time_segment_47_Norman Niles #1_congestion_enter_rating,time_segment_47_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-47-45.mp4,2025-10-20 06:47:45,2025-10-20 06:47:45,2025-10-20 06:48:44,2025-10-20,none,free flowing,free flowing,47,train
X4sHabCkBbmfnvgPoaTSqQ0,Norman Niles #1,time_segment_48_Norman Niles #1_congestion_enter_rating,time_segment_48_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-48-45.mp4,2025-10-20 06:48:45,2025-10-20 06:48:45,2025-10-20 06:49:45,2025-10-20,none,free flowing,free flowing,48,train
7okHaYXtLKCVmecP_oCp4QE,Norman Niles #1,time_segment_49_Norman Niles #1_congestion_enter_rating,time_segment_49_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-49-45.mp4,2025-10-20 06:49:45,2025-10-20 06:49:45,2025-10-20 06:50:44,2025-10-20,none,free flowing,free flowing,49,train
04kHabizOrmfnvgPoaTSqQ0,Norman Niles #1,time_segment_50_Norman Niles #1_congestion_enter_rating,time_segment_50_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-50-45.mp4,2025-10-20 06:50:45,2025-10-20 06:50:45,2025-10-20 06:51:44,2025-10-20,none,free flowing,free flowing,50,train
VosHaZScMrHZnvgPgt-ZqQs,Norman Niles #1,time_segment_51_Norman Niles #1_congestion_enter_rating,time_segment_51_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-51-45.mp4,2025-10-20 06:51:45,2025-10-20 06:51:45,2025-10-20 06:52:44,2025-10-20,none,free flowing,free flowing,51,train
2YwHae2rILXOnvgP3YW5kQs,Norman Niles #1,time_segment_52_Norman Niles #1_congestion_enter_rating,time_segment_52_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-52-45.mp4,2025-10-20 06:52:45,2025-10-20 06:52:45,2025-10-20 06:53:44,2025-10-20,medium,free flowing,free flowing,52,train
04kHaZaoD7XOnvgP3YW5kQs,Norman Niles #1,time_segment_53_Norman Niles #1_congestion_enter_rating,time_segment_53_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-53-45.mp4,2025-10-20 06:53:45,2025-10-20 06:53:45,2025-10-20 06:54:44,2025-10-20,none,free flowing,free flowing,53,train
54kHaeHYO6HXnvgP76fxyQI,Norman Niles #1,time_segment_54_Norman Niles #1_congestion_enter_rating,time_segment_54_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-54-45.mp4,2025-10-20 06:54:45,2025-10-20 06:54:45,2025-10-20 06:55:44,2025-10-20,none,free flowing,free flowing,54,train
0okHaZWLDb-envgP6uGTmAE,Norman Niles #1,time_segment_55_Norman Niles #1_congestion_enter_rating,time_segment_55_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-55-45.mp4,2025-10-20 06:55:45,2025-10-20 06:55:45,2025-10-20 06:56:44,2025-10-20,none,free flowing,free flowing,55,train
K4sHaZHUEOaQ2PgPqvKU8As,Norman Niles #1,time_segment_56_Norman Niles #1_congestion_enter_rating,time_segment_56_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-56-45.mp4,2025-10-20 06:56:45,2025-10-20 06:56:45,2025-10-20 06:57:45,2025-10-20,none,free flowing,free flowing,56,train
TYsHaZ_pMeaQ2PgPqvKU8As,Norman Niles #1,time_segment_57_Norman Niles #1_congestion_enter_rating,time_segment_57_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-57-45.mp4,2025-10-20 06:57:45,2025-10-20 06:57:45,2025-10-20 06:58:45,2025-10-20,none,free flowing,free flowing,57,train
CIoHae7WEJehmecPss7LwQo,Norman Niles #1,time_segment_58_Norman Niles #1_congestion_enter_rating,time_segment_58_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-58-45.mp4,2025-10-20 06:58:45,2025-10-20 06:58:45,2025-10-20 06:59:44,2025-10-20,none,free flowing,free flowing,58,train
0okHacCHHdiD2PgPyKaayQw,Norman Niles #1,time_segment_59_Norman Niles #1_congestion_enter_rating,time_segment_59_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-59-45.mp4,2025-10-20 06:59:45,2025-10-20 06:59:45,2025-10-20 07:00:59,2025-10-20,none,free flowing,free flowing,59,train
7okHadDRL6-vnvgPjoXZqA0,Norman Niles #1,time_segment_60_Norman Niles #1_congestion_enter_rating,time_segment_60_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-00-45.mp4,2025-10-20 07:00:45,2025-10-20 07:00:45,2025-10-20 07:01:44,2025-10-20,none,free flowing,free flowing,60,train
IYsHaYTEDuaQ2PgPqvKU8As,Norman Niles #1,time_segment_61_Norman Niles #1_congestion_enter_rating,time_segment_61_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-01-45.mp4,2025-10-20 07:01:45,2025-10-20 07:01:45,2025-10-20 07:02:44,2025-10-20,none,free flowing,free flowing,61,train
EI0HaeCnKtCT3NoP8rPIoA0,Norman Niles #1,time_segment_62_Norman Niles #1_congestion_enter_rating,time_segment_62_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-02-45.mp4,2025-10-20 07:02:45,2025-10-20 07:02:45,2025-10-20 07:03:44,2025-10-20,none,free flowing,free flowing,62,train
0YkHadfDKfK1ld8PufLf6AI,Norman Niles #1,time_segment_63_Norman Niles #1_congestion_enter_rating,time_segment_63_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-03-45.mp4,2025-10-20 07:03:45,2025-10-20 07:03:45,2025-10-20 07:04:44,2025-10-20,none,free flowing,free flowing,63,train
II0HaeLdOrmfnvgPoaTSqQ0,Norman Niles #1,time_segment_64_Norman Niles #1_congestion_enter_rating,time_segment_64_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-04-45.mp4,2025-10-20 07:04:45,2025-10-20 07:04:45,2025-10-20 07:05:44,2025-10-20,none,free flowing,free flowing,64,train
PYoHabG-L9P_ld8Piv3HsQo,Norman Niles #1,time_segment_65_Norman Niles #1_congestion_enter_rating,time_segment_65_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-05-45.mp4,2025-10-20 07:05:45,2025-10-20 07:05:45,2025-10-20 07:06:44,2025-10-20,none,free flowing,free flowing,65,train
Io0HadToJbmfnvgPoaTSqQ0,Norman Niles #1,time_segment_66_Norman Niles #1_congestion_enter_rating,time_segment_66_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-06-45.mp4,2025-10-20 07:06:45,2025-10-20 07:06:45,2025-10-20 07:07:44,2025-10-20,none,free flowing,free flowing,66,train
1IkHafrNBL-envgP6uGTmAE,Norman Niles #1,time_segment_67_Norman Niles #1_congestion_enter_rating,time_segment_67_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-07-45.mp4,2025-10-20 07:07:45,2025-10-20 07:07:45,2025-10-20 07:08:44,2025-10-20,none,free flowing,free flowing,67,train
-4wHaeSLJ7Ov3NoPq7G46QE,Norman Niles #1,time_segment_68_Norman Niles #1_congestion_enter_rating,time_segment_68_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-08-45.mp4,2025-10-20 07:08:45,2025-10-20 07:08:45,2025-10-20 07:09:44,2025-10-20,none,free flowing,free flowing,68,train
BY0HaaboNqHXnvgP76fxyQI,Norman Niles #1,time_segment_69_Norman Niles #1_congestion_enter_rating,time_segment_69_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-09-45.mp4,2025-10-20 07:09:45,2025-10-20 07:09:45,2025-10-20 07:10:44,2025-10-20,none,free flowing,free flowing,69,train
0okHaaD3Jr-envgP6uGTmAE,Norman Niles #1,time_segment_70_Norman Niles #1_congestion_enter_rating,time_segment_70_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-10-45.mp4,2025-10-20 07:10:45,2025-10-20 07:10:45,2025-10-20 07:11:44,2025-10-20,none,free flowing,free flowing,70,train
LIsHacauENiD2PgPyKaayQw,Norman Niles #1,time_segment_71_Norman Niles #1_congestion_enter_rating,time_segment_71_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-11-45.mp4,2025-10-20 07:11:45,2025-10-20 07:11:45,2025-10-20 07:12:00,2025-10-20,none,free flowing,free flowing,71,train
WYsHafOQJuaQ2PgPqvKU8As,Norman Niles #1,time_segment_72_Norman Niles #1_congestion_enter_rating,time_segment_72_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-12-45.mp4,2025-10-20 07:12:45,2025-10-20 07:12:45,2025-10-20 07:13:45,2025-10-20,low,free flowing,free flowing,72,train
0okHabnHDZ__698PweWaiQ4,Norman Niles #1,time_segment_73_Norman Niles #1_congestion_enter_rating,time_segment_73_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-13-45.mp4,2025-10-20 07:13:45,2025-10-20 07:13:45,2025-10-20 07:14:44,2025-10-20,none,free flowing,free flowing,73,train
EI0Hab3dKuK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_74_Norman Niles #1_congestion_enter_rating,time_segment_74_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-14-45.mp4,2025-10-20 07:14:45,2025-10-20 07:14:45,2025-10-20 07:15:44,2025-10-20,none,free flowing,free flowing,74,train
0YkHaejDNdymmecP6_3GoAQ,Norman Niles #1,time_segment_75_Norman Niles #1_congestion_enter_rating,time_segment_75_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-15-45.mp4,2025-10-20 07:15:45,2025-10-20 07:15:45,2025-10-20 07:16:44,2025-10-20,none,free flowing,free flowing,75,train
3owHacPVL-K2nvgPsZGZ4Aw,Norman Niles #1,time_segment_76_Norman Niles #1_congestion_enter_rating,time_segment_76_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-16-45.mp4,2025-10-20 07:16:45,2025-10-20 07:16:45,2025-10-20 07:17:44,2025-10-20,none,free flowing,free flowing,76,train
EI0HacHCIbmfnvgPoaTSqQ0,Norman Niles #1,time_segment_77_Norman Niles #1_congestion_enter_rating,time_segment_77_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-17-45.mp4,2025-10-20 07:17:45,2025-10-20 07:17:45,2025-10-20 07:18:44,2025-10-20,none,free flowing,free flowing,77,train
EI0HafKfKLXOnvgP3YW5kQs,Norman Niles #1,time_segment_78_Norman Niles #1_congestion_enter_rating,time_segment_78_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-18-45.mp4,2025-10-20 07:18:45,2025-10-20 07:18:45,2025-10-20 07:19:44,2025-10-20,none,free flowing,free flowing,78,train
